CPC,ASS,count,mean,std,min,max
08001,240014,7.0,6.928571428571429,2.3264524393120425,3.4,10.0
08003,240014,3.0,7.2,1.9078784028338915,6.0,9.4
08004,240014,4.0,8.7,1.6186414056238647,6.3,9.8
08005,240014,14.0,6.6428571428571415,1.5031834351004671,3.6,9.5
08006,240014,51.0,6.003921568627452,2.1655448076005013,0.0,9.6
08007,240014,14.0,5.7142857142857135,1.6214225201997747,2.5,8.1
08008,240014,11.0,6.09090909090909,1.8234333250516976,3.4,9.5
08009,240014,53.0,6.379245283018867,1.7454730999145758,0.0,10.0
08010,240014,49.0,6.459183673469388,1.3593684758229554,2.8,9.3
08012,240014,11.0,6.027272727272727,1.4953868456629602,3.3,8.5
08013,240014,5.0,6.4,1.1335784048754634,5.0,7.8
08014,240014,35.0,6.542857142857142,1.9732454178311416,2.6,9.8
08015,240014,12.0,6.3916666666666675,1.7722396376713092,3.4,9.0
08016,240014,9.0,6.188888888888887,1.7460272366464136,2.6,8.0
08017,240014,221.0,5.8954751131221705,1.8329998699512944,0.0,9.7
08018,240014,1.0,5.1,,5.1,5.1
08019,240014,3.0,6.7333333333333325,1.4153915830374766,5.1,7.6
08020,240014,1.0,6.5,,6.5,6.5
08021,240014,80.0,6.3050000000000015,1.6289236952857218,2.1,9.9
08022,240014,158.0,6.060126582278484,1.5110185485091054,1.2,9.6
08023,240014,22.0,6.254545454545454,1.6364093307713377,3.7,9.6
08024,240014,19.0,5.768421052631577,1.990268723223896,0.0,8.2
08025,240014,28.0,5.860714285714287,1.9623001027166287,0.0,9.3
08026,240014,3.0,5.433333333333334,0.05773502691896237,5.4,5.5
08027,240014,33.0,6.56060606060606,1.4302402319932557,4.3,9.8
08028,240014,16.0,5.59375,2.0888493642832806,0.0,9.2
08029,240014,53.0,6.077358490566037,2.047948458395336,0.0,9.9
08030,240014,33.0,5.918181818181817,1.8521026134934024,0.0,8.8
08031,240014,18.0,6.277777777777778,1.9714299246263909,2.6,9.2
08032,240014,15.0,5.9866666666666655,1.4332115119881077,2.9,8.5
08034,240014,333.0,6.168468468468464,1.792873206362661,0.0,10.0
08035,240014,34.0,5.576470588235295,1.8810150102552892,0.0,9.8
08036,240014,31.0,6.258064516129032,1.6926850846211547,1.8,9.7
08037,240014,3.0,6.166666666666668,0.404145188432738,5.8,6.6
08038,240014,1.0,8.0,,8.0,8.0
08041,240014,7.0,5.814285714285715,1.415896149003134,4.1,8.1
08100,240014,21.0,5.719047619047619,1.8832469428142045,0.2,8.5
08110,240014,2.0,7.800000000000002,2.2627416997969525,6.2,9.4
08130,240014,3.0,4.1,2.951270912674741,0.7,6.0
08140,240014,7.0,6.371428571428572,1.5085470777255463,4.1,8.2
08160,240014,1.0,1.2,,1.2,1.2
08170,240014,3.0,7.033333333333334,0.9712534856222308,6.2,8.1
08172,240014,7.0,4.571428571428571,2.6911672100374866,1.8,8.6
08173,240014,62.0,5.925806451612903,1.7936989425071137,1.0,9.0
08174,240014,13.0,6.1,1.9514951532948608,2.0,9.0
08180,240014,4.0,5.75,2.111081871142535,3.1,7.5
08181,240014,1.0,4.4,,4.4,4.4
08186,240014,2.0,6.45,0.3535533905932738,6.2,6.7
08187,240014,1.0,5.0,,5.0,5.0
08191,240014,1.0,3.2,,3.2,3.2
08193,240014,24.0,5.9125000000000005,1.9377962606595376,0.1,8.5
08195,240014,7.0,5.5285714285714285,1.1586116486471871,3.6,7.0
08197,240014,3.0,6.066666666666666,1.1015141094572205,5.0,7.2
08201,240014,5.0,6.16,1.5306861206661542,5.0,8.6
08202,240014,5.0,5.64,1.1058933040759402,4.0,7.0
08204,240014,1.0,4.1,,4.1,4.1
08205,240014,2.0,8.75,1.2020815280171302,7.9,9.6
08206,240014,1.0,6.0,,6.0,6.0
